listing_id,price,nbhood_full,description,room_type,host_name,last_review
2595,225.0,"Manhattan, Midtown",Skylit Midtown Castle,entire_home/apt,Jennifer,2019-05-21
3831,89.0,"Brooklyn, Clinton Hill",Cozy Entire Floor of Brownstone,entire_home/apt,Lisaroxanne,2019-07-05
5099,200.0,"Manhattan, Murray Hill",Large Cozy 1 BR Apartment In Midtown East,entire_home/apt,Chris,2019-06-22
5178,79.0,"Manhattan, Hell's Kitchen",Large Furnished Room Near B'way,private_room,Shunichi,2019-06-24
5238,150.0,"Manhattan, Chinatown",Cute & Cozy Lower East Side 1 bdrm,entire_home/apt,Ben,2019-06-09
5295,135.0,"Manhattan, Upper West Side",Beautiful 1br on Upper West Side,entire_home/apt,Lena,2019-06-22
5441,85.0,"Manhattan, Hell's Kitchen",Central Manhattan/near Broadway,private_room,Kate,2019-06-23
5803,89.0,"Brooklyn, South Slope","Lovely Room 1, Garden, Best Area, Legal rental",private_room,Laurie,2019-06-24
6021,85.0,"Manhattan, Upper West Side",Wonderful Guest Bedroom in Manhattan for SINGLES,private_room,Claudio,2019-07-05
6848,140.0,"Brooklyn, Williamsburg",Only 2 stops to Manhattan studio,entire_home/apt,Allen & Irina,2019-06-29
7097,215.0,"Brooklyn, Fort Greene",Perfect for Your Parents + Garden,entire_home/apt,Jane,2019-06-28
7322,140.0,"Manhattan, Chelsea",Chelsea Perfect,private_room,Doti,2019-07-01
7726,99.0,"Brooklyn, Crown Heights",Hip Historic Brownstone Apartment with Backyard,entire_home/apt,Adam And Charity,2019-06-22
8024,130.0,"Brooklyn, Park Slope",CBG CtyBGd HelpsHaiti rm#1:1-4,private_room,Lisel,2019-07-01
8025,80.0,"Brooklyn, Park Slope",CBG Helps Haiti Room#2.5,private_room,Lisel,2019-01-01
8110,110.0,"Brooklyn, Park Slope",CBG Helps Haiti Rm #2,private_room,Lisel,2019-07-02
8490,120.0,"Brooklyn, Bedford-Stuyvesant","MAISON DES SIRENES1,bohemian apartment",entire_home/apt,Nathalie,2019-06-19
8505,60.0,"Brooklyn, Windsor Terrace",Sunny Bedroom Across Prospect Park,private_room,Gregory,2019-06-23
9518,44.0,"Manhattan, Inwood","SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private_room,Shon,2019-06-15
9657,180.0,"Manhattan, East Village",Modern 1 BR / NYC / EAST VILLAGE,entire_home/apt,Dana,2019-04-19
9668,50.0,"Manhattan, Harlem",front room/double bed,private_room,Ssameer Or Trip,2019-06-01
9704,52.0,"Manhattan, Harlem",Spacious 1 bedroom in luxe building,private_room,Teri,2019-06-14
9782,55.0,"Brooklyn, Greenpoint",Loft in Williamsburg Area w/ Roof,private_room,Andrea,2019-06-15
9783,50.0,"Manhattan, Harlem",back room/bunk beds,private_room,Ssameer Or Trip,2019-07-01
10452,70.0,"Brooklyn, Bedford-Stuyvesant",Large B&B Style rooms,private_room,Angela,2019-05-12
10962,89.0,"Brooklyn, South Slope","Lovely room 2 & garden; Best area, Legal rental",private_room,Laurie,2019-06-21
11708,85.0,"Brooklyn, Bushwick",Cute apt in artist's home,entire_home/apt,Tyrome,2019-06-22
12048,40.0,"Manhattan, Lower East Side",LowerEastSide apt share shortterm 1,shared_room,Ben,2019-07-05
12192,68.0,"Manhattan, East Village",ENJOY Downtown NYC!,private_room,Edward,2019-06-21
