VIN (1-10),DOL Vehicle ID,Make,Model,Model Year
5YJYGDEEXL,121781950,TESLA,MODEL Y,2020
3C3CFFGE1G,180778377,FIAT,500,2016
5YJXCAE29L,1843054,TESLA,MODEL X,2020
5YJ3E1EB6L,182822020,TESLA,MODEL 3,2020
1G1FY6S07L,132558002,CHEVROLET,BOLT EV,2020
1G1RD6S55K,474853417,CHEVROLET,VOLT,2019
WA1VABGE7K,252912397,AUDI,E-TRON,2019
1N4AZ0CP1D,245254355,NISSAN,LEAF,2013
WBY1Z6C37H,282181980,BMW,I3,2017
5YJ3E1EA2J,178546133,TESLA,MODEL 3,2018
5YJ3E1EA6L,102657789,TESLA,MODEL 3,2020
5YJ3E1EA4J,474888991,TESLA,MODEL 3,2018
1N4AZ0CP4D,181560599,NISSAN,LEAF,2013
1G1RD6E42E,187081191,CHEVROLET,VOLT,2014
5YJ3E1EB6J,475060603,TESLA,MODEL 3,2018
1N4AZ0CP0D,211771696,NISSAN,LEAF,2013
5YJ3E1EB2L,274036927,TESLA,MODEL 3,2020
2C4RC1N72L,107651001,CHRYSLER,PACIFICA,2020
7JRH60FW2P,275696725,VOLVO,S60,2023
5YJSA1E25K,214922046,TESLA,MODEL S,2019
5YJSA1E18G,477474546,TESLA,MODEL S,2016
5YJSA1E29J,211037095,TESLA,MODEL S,2018
1N4BZ0CP6G,348134671,NISSAN,LEAF,2016
3C3CFFGE0G,194169839,FIAT,500,2016
KNDPZDDH8R,261672442,KIA,SPORTAGE,2024
5YJSA1E22K,202233958,TESLA,MODEL S,2019
5YJSA1E20G,128793731,TESLA,MODEL S,2016
1N4AZ0CP8D,221203671,NISSAN,LEAF,2013
5YJ3E1EB0L,103028922,TESLA,MODEL 3,2020
5YJ3E1EB0L,103695413,TESLA,MODEL 3,2020
JN1AZ0CP2C,120570271,NISSAN,LEAF,2012
1G1RA6S50J,476774427,CHEVROLET,VOLT,2018
KNDRMDLH1P,255215635,KIA,SORENTO,2023
WBY8P4C56K,276395647,BMW,I3,2019
LPSED3KA6M,186968694,POLESTAR,PS2,2021
5UXTA6C07N,196269524,BMW,X5,2022
5YJXCAE28G,281450914,TESLA,MODEL X,2016
1N4AZ0CP6F,148012406,NISSAN,LEAF,2015
5YJSA1E29F,166232902,TESLA,MODEL S,2015
1N4BZ1CP6K,4742531,NISSAN,LEAF,2019
5YJ3E1EB1L,8013113,TESLA,MODEL 3,2020
5YJ3E1EB1J,124514484,TESLA,MODEL 3,2018
5YJ3E1EAXJ,138452401,TESLA,MODEL 3,2018
1N4AZ0CPXD,5617937,NISSAN,LEAF,2013
5YJSA1DP4D,161861780,TESLA,MODEL S,2013
5YJSA1E24L,5013942,TESLA,MODEL S,2020
5YJ3E1EA0K,477457774,TESLA,MODEL 3,2019
5YJ3E1EB9J,282291271,TESLA,MODEL 3,2018
1N4AZ0CPXF,6578344,NISSAN,LEAF,2015
1N4BZ1CP8L,132265206,NISSAN,LEAF,2020
5YJ3E1EA3L,131375107,TESLA,MODEL 3,2020
5YJ3E1EB4L,207237152,TESLA,MODEL 3,2020
5YJ3E1EA4K,256929564,TESLA,MODEL 3,2019
YV4H60DA9P,227282975,VOLVO,XC60,2023
WBY1Z2C55E,195380398,BMW,I3,2014
5YJYGDEF8L,202885203,TESLA,MODEL Y,2020
5YJXCAE24L,229526286,TESLA,MODEL X,2020
5UX43EU00S,278302720,BMW,X5,2025
5YJ3E1EA1J,223841481,TESLA,MODEL 3,2018
1N4AZ0CP7F,227593782,NISSAN,LEAF,2015
5YJXCBE23K,211414066,TESLA,MODEL X,2019
5YJ3E1EBXK,149025411,TESLA,MODEL 3,2019
5YJ3E1EA4K,148566358,TESLA,MODEL 3,2019
3C3CFFGE8F,160344117,FIAT,500,2015
1N4AZ0CP1D,114489623,NISSAN,LEAF,2013
LPSED3KA0M,278520224,POLESTAR,PS2,2021
WBY1Z6C34H,132827726,BMW,I3,2017
1G1FY6S08K,251184825,CHEVROLET,BOLT EV,2019
1N4AZ1CP9J,267463584,NISSAN,LEAF,2018
2C4RC1N75N,190458684,CHRYSLER,PACIFICA,2022
KNDCC3LG7K,107241774,KIA,NIRO,2019
5YJ3E1EB6K,280431476,TESLA,MODEL 3,2019
5YJXCBE25G,127155192,TESLA,MODEL X,2016
1G1RC6E45F,157715015,CHEVROLET,VOLT,2015
1G1FW6S09J,251061443,CHEVROLET,BOLT EV,2018
1G1FX6S01H,214494213,CHEVROLET,BOLT EV,2017
1N4AZ0CP9E,234207676,NISSAN,LEAF,2014
5YJ3E1EB2K,216750145,TESLA,MODEL 3,2019
1G1RB6E4XF,160637802,CHEVROLET,VOLT,2015
1N4AZ1CP4J,283991711,NISSAN,LEAF,2018
JA4T5VA96P,260993743,MITSUBISHI,OUTLANDER,2023
5YJ3E1EAXJ,276402563,TESLA,MODEL 3,2018
3C3CFFGE3F,169153505,FIAT,500,2015
5UXTA6C05M,148671757,BMW,X5,2021
5YJ3E1EB2L,4908578,TESLA,MODEL 3,2020
5YJYGDEE9L,124477874,TESLA,MODEL Y,2020
5YJ3E1EAXK,194426431,TESLA,MODEL 3,2019
1G1RE6E42D,280052097,CHEVROLET,VOLT,2013
1N4AZ0CP4E,185011858,NISSAN,LEAF,2014
5YJ3E1EA5J,141232801,TESLA,MODEL 3,2018
1N4AZ0CP2F,102928297,NISSAN,LEAF,2015
2C4RC1N7XP,260445552,CHRYSLER,PACIFICA,2023
5YJXCDE47J,476799907,TESLA,MODEL X,2018
5YJSA1E24L,124528799,TESLA,MODEL S,2020
5YJ3E1EA4J,257825683,TESLA,MODEL 3,2018
1N4BZ0CP9G,104750698,NISSAN,LEAF,2016
2C4RC1L70P,260442206,CHRYSLER,PACIFICA,2023
1N4AZ0CP3D,229870406,NISSAN,LEAF,2013
5YJSA1H17E,220028189,TESLA,MODEL S,2014
3C3CFFGE3H,103172268,FIAT,500,2017
1N4AZ1CP1L,251258822,NISSAN,LEAF,2020
WMWXP3C08M,109994475,MINI,HARDTOP,2021
KNDCE3LGXL,153791158,KIA,NIRO,2020
1G1FY6S01L,149489812,CHEVROLET,BOLT EV,2020
1G1RD6E4XC,6688692,CHEVROLET,VOLT,2012
1G1FW6S03H,112467344,CHEVROLET,BOLT EV,2017
5YJ3E1EB4J,183206110,TESLA,MODEL 3,2018
