VIN (1-10),DOL Vehicle ID,Make,Model,Model Year
KNDCC3LD5K,2581225,KIA,NIRO,2019
JTDKN3DP9F,177904170,TOYOTA,PRIUS,2015
3MW39FF06P,259821229,BMW,330E,2023
1FADP5CU0G,1465033,FORD,C-MAX,2016
JM3KKBHA9R,275123642,MAZDA,CX-90,2024
WP0CK2A78N,193230292,PORSCHE,PANAMERA,2022
1FADP5CU8G,477478004,FORD,C-MAX,2016
1FADP5CU3D,230136070,FORD,C-MAX,2013
3FA6P0SU7F,257376094,FORD,FUSION,2015
YV4BR0DM9M,135178102,VOLVO,XC60,2021
YV4BR0CK0M,265947146,VOLVO,XC90,2021
KNDCM3LD0L,166160893,KIA,NIRO,2020
3FA6P0SU3G,478278958,FORD,FUSION,2016
1C4RJYE62P,277080163,JEEP,GRAND CHEROKEE,2023
KNDCC3LD7N,194200681,KIA,NIRO,2022
5UXKT0C51G,150463022,BMW,X5,2016
WA1F2AFY2R,276998613,AUDI,Q5 E,2024
JM3KKEHA9R,252116336,MAZDA,CX-90,2024
1FADP5CU1D,112209058,FORD,C-MAX,2013
3MW5P7J02N,268592341,BMW,330E,2022
1FADP5CU3E,108233912,FORD,C-MAX,2014
WMZYU7C56K,275675725,MINI,COUNTRYMAN,2019
WA1E2AFY8R,263239938,AUDI,Q5 E,2024
1C4RJXR63R,264931726,JEEP,WRANGLER,2024
1FADP5CU2D,179883252,FORD,C-MAX,2013
5UXTS1C07L,153845303,BMW,X3,2020
1C4RJXR65R,264507162,JEEP,WRANGLER,2024
1C4JJXP67M,170961500,JEEP,WRANGLER,2021
WBA7W4C02M,257415770,BMW,745E,2021
1C4RJYB60P,260171012,JEEP,GRAND CHEROKEE,2023
WAUUPBFF4G,197057717,AUDI,A3,2016
1C4JJXR61P,279273207,JEEP,WRANGLER,2023
YV4BR0DL1L,109733963,VOLVO,XC60,2020
JM3KKEHA9R,267644233,MAZDA,CX-90,2024
LYVBR0DK0J,298238916,VOLVO,XC60,2018
3FA6P0SU1E,265024931,FORD,FUSION,2014
JTDKN3DP8F,252909345,TOYOTA,PRIUS,2015
KNDCD3LD2N,202894002,KIA,NIRO,2022
5UXKT0C53H,2220403,BMW,X5,2017
3FA6P0PU4E,254594259,FORD,FUSION,2014
YV4BR0CK6L,144747165,VOLVO,XC90,2020
1C4RJXN68R,267047651,JEEP,WRANGLER,2024
3MW5P9J08N,195126032,BMW,330E,2022
WAUTPBFF0G,107411678,AUDI,A3,2016
WA1G2AFY6M,153708971,AUDI,Q5 E,2021
3MW39FS06P,272237458,BMW,330E,2023
1C4JJXR6XM,169308632,JEEP,WRANGLER,2021
JTDKARFP5H,240433938,TOYOTA,PRIUS PRIME (PHEV),2017
1FADP5CUXE,202463684,FORD,C-MAX,2014
WBY2Z6C55K,275546953,BMW,I8,2019
KNAGV4LD9H,115369586,KIA,OPTIMA,2017
1C4JJXP67N,211408739,JEEP,WRANGLER,2022
KNDCD3LD4L,127498318,KIA,NIRO,2020
1C4JJXP68M,219397531,JEEP,WRANGLER,2021
1C4JJXN61P,249603035,JEEP,WRANGLER,2023
3MW5P7J05N,269827099,BMW,330E,2022
1C4JJXR63P,238993786,JEEP,WRANGLER,2023
KNDCC3LD8J,475388812,KIA,NIRO,2018
JTDKAMFP7M,281975466,TOYOTA,PRIUS PRIME (PHEV),2021
1C4JJXP66P,227315819,JEEP,WRANGLER,2023
WA1E2AFY8R,272917116,AUDI,Q5 E,2024
3FA6P0PU2G,229532824,FORD,FUSION,2016
JTDKARFP7H,108953659,TOYOTA,PRIUS PRIME (PHEV),2017
1C4RJXU61R,266654755,JEEP,WRANGLER,2024
JM3KKEHA8S,277791643,MAZDA,CX-90,2025
JM3KKBHA2R,270117536,MAZDA,CX-90,2024
5UXKT0C51J,291897987,BMW,X5,2018
5UXKT0C56G,478337415,BMW,X5,2016
1C4RJYD64N,262721371,JEEP,GRAND CHEROKEE,2022
YV4BR0DL2M,144503138,VOLVO,XC60,2021
JTDKARFPXH,136744079,TOYOTA,PRIUS PRIME (PHEV),2017
JTDKN3DP9E,153557722,TOYOTA,PRIUS,2014
KNDCM3LD7J,327550058,KIA,NIRO,2018
JTDKARFP6J,122372470,TOYOTA,PRIUS PRIME (PHEV),2018
YV4BR0DL3M,148922763,VOLVO,XC60,2021
1FADP5CU2G,152161509,FORD,C-MAX,2016
1FADP5CU9E,188941882,FORD,C-MAX,2014
YV4BR0DK3K,476938416,VOLVO,XC60,2019
JTDKARFP0H,344024978,TOYOTA,PRIUS PRIME (PHEV),2017
1C4JJXP66P,219648397,JEEP,WRANGLER,2023
JTDKARFP4J,209534832,TOYOTA,PRIUS PRIME (PHEV),2018
JTDKN3DPXD,256401631,TOYOTA,PRIUS,2013
3FA6P0PU6E,172931510,FORD,FUSION,2014
JTDKARFP6H,349372929,TOYOTA,PRIUS PRIME (PHEV),2017
JTDKARFP0J,276214984,TOYOTA,PRIUS PRIME (PHEV),2018
1C4RJXN6XR,276332668,JEEP,WRANGLER,2024
YV4BR00LXM,128873223,VOLVO,XC90,2021
LYVBR0DL8J,212123964,VOLVO,XC60,2018
WA1E2AFY8M,151855224,AUDI,Q5 E,2021
3FA6P0SU3D,211666318,FORD,FUSION,2013
5UXTS1C03M,142151712,BMW,X3,2021
4JGDA6DB5H,198565839,MERCEDES-BENZ,GLE-CLASS,2017
1FADP5EU1H,252447184,FORD,C-MAX,2017
JTDKAMFP7N,281893328,TOYOTA,PRIUS PRIME (PHEV),2022
JTDKARFP8J,263119776,TOYOTA,PRIUS PRIME (PHEV),2018
3MW5P7J04N,260907573,BMW,330E,2022
JM3KKDHA8R,253930365,MAZDA,CX-90,2024
WA1G2AFY1R,278815596,AUDI,Q5 E,2024
YV4BR0DMXM,134915854,VOLVO,XC60,2021
YV4BC0PM4G,260366025,VOLVO,XC90,2016
KNDCD3LD1K,2160658,KIA,NIRO,2019
WBAJB1C55J,135760355,BMW,530E,2018
1FADP5CU3G,237981943,FORD,C-MAX,2016
WP1AE2A26G,171523551,PORSCHE,CAYENNE,2016
WAUTPBFFXJ,222998464,AUDI,A3,2018
1FADP5CU8G,317617968,FORD,C-MAX,2016
JTDKARFP0H,335417596,TOYOTA,PRIUS PRIME (PHEV),2017
1C4RJXN66R,275998516,JEEP,WRANGLER,2024
WA1E2AFY4L,126148991,AUDI,Q5 E,2020
W1N0G5DB3L,128842591,MERCEDES-BENZ,GLC-CLASS,2020
5UXTS1C07L,261806786,BMW,X3,2020
WA1F2AFYXM,151655633,AUDI,Q5 E,2021
JTDKARFP9H,187055851,TOYOTA,PRIUS PRIME (PHEV),2017
JTDKN3DP3E,262608664,TOYOTA,PRIUS,2014
3FA6P0SU1K,272670730,FORD,FUSION,2019
3FA6P0PU4H,348891875,FORD,FUSION,2017
JTDKARFPXH,154172007,TOYOTA,PRIUS PRIME (PHEV),2017
JTDKARFP7J,182141963,TOYOTA,PRIUS PRIME (PHEV),2018
LYVBR0DM5J,476000556,VOLVO,XC60,2018
KNDCD3LD0K,477395761,KIA,NIRO,2019
5UXKT0C5XJ,349224382,BMW,X5,2018
1C4JJXP67M,278540370,JEEP,WRANGLER,2021
JTDKARFP4J,182179553,TOYOTA,PRIUS PRIME (PHEV),2018
1FADP5CU1D,221573404,FORD,C-MAX,2013
JTDKAMFP7N,230190355,TOYOTA,PRIUS PRIME (PHEV),2022
WBY2Z2C59E,280424364,BMW,I8,2014
5LMTJ5DZ1R,280965079,LINCOLN,CORSAIR,2024
JTDKARFPXJ,276648074,TOYOTA,PRIUS PRIME (PHEV),2018
JTDKARFP5H,160057901,TOYOTA,PRIUS PRIME (PHEV),2017
1C4RJXN68R,262934304,JEEP,WRANGLER,2024
KNDCC3LD3K,233769280,KIA,NIRO,2019
55SWF4HB6J,122272230,MERCEDES-BENZ,C-CLASS,2018
WA1E2AFY7R,273997965,AUDI,Q5 E,2024
JTDKARFP0H,273114453,TOYOTA,PRIUS PRIME (PHEV),2017
1C4JJXR66M,193991584,JEEP,WRANGLER,2021
5LMYJ8XY6P,270678096,LINCOLN,AVIATOR,2023
JA4J24A57L,2278048,MITSUBISHI,OUTLANDER,2020
YV4BC0PM9H,144982309,VOLVO,XC90,2017
JTDKARFP7H,176199740,TOYOTA,PRIUS PRIME (PHEV),2017
5LMYJ8XY2L,102939042,LINCOLN,AVIATOR,2020
WA1E2AFY9M,148782637,AUDI,Q5 E,2021
3FA6P0PU8G,163407296,FORD,FUSION,2016
WBA5P7C04M,279317020,BMW,330E,2021
WBA8E1C58J,120804638,BMW,330E,2018
1FADP5CU1D,5672362,FORD,C-MAX,2013
JTDKN3DP6E,106468372,TOYOTA,PRIUS,2014
WBAJA9C56K,257002581,BMW,530E,2019
LYVBR0DL3J,348820825,VOLVO,XC60,2018
JTDKN3DP2F,228065407,TOYOTA,PRIUS,2015
JTDKARFP5H,313416743,TOYOTA,PRIUS PRIME (PHEV),2017
1FADP5CU6F,228829191,FORD,C-MAX,2015
1FADP5CU6D,254922083,FORD,C-MAX,2013
JA4J24A58J,218270979,MITSUBISHI,OUTLANDER,2018
JTDKARFP2H,261325634,TOYOTA,PRIUS PRIME (PHEV),2017
1C4RJYB69R,275201314,JEEP,GRAND CHEROKEE,2024
YV4BR0CK6M,152705171,VOLVO,XC90,2021
WA1E2AFY8L,107628685,AUDI,Q5 E,2020
JM3KKDHA6R,257083221,MAZDA,CX-90,2024
JTDKAMFP9N,274179755,TOYOTA,PRIUS PRIME (PHEV),2022
JTDKARFP2J,264591729,TOYOTA,PRIUS PRIME (PHEV),2018
JTDKARFP6J,272474191,TOYOTA,PRIUS PRIME (PHEV),2018
3FA6P0PU6H,103482039,FORD,FUSION,2017
WA1F2AFY0S,274484612,AUDI,Q5 E,2025
3FA6P0PU4G,121704978,FORD,FUSION,2016
5UXKT0C58G,129838264,BMW,X5,2016
5LMTJ5DZ9R,275217211,LINCOLN,CORSAIR,2024
5LMYJ9YY5L,278636417,LINCOLN,AVIATOR,2020
5UXTS1C04M,275548689,BMW,X3,2021
1FADP5CU9G,162431944,FORD,C-MAX,2016
YV4BR0CL6K,326903881,VOLVO,XC90,2019
1C4RJYC67R,277874670,JEEP,GRAND CHEROKEE,2024
JTDKN3DPXC,279081414,TOYOTA,PRIUS,2012
JTDKARFP8J,476432442,TOYOTA,PRIUS PRIME (PHEV),2018
1C4JJXR61P,279267138,JEEP,WRANGLER,2023
JTDKN3DP4C,216350431,TOYOTA,PRIUS,2012
YV4BR0DL8N,277519056,VOLVO,XC60,2022
JTDKARFPXJ,154121327,TOYOTA,PRIUS PRIME (PHEV),2018
5UXTS1C03M,166931768,BMW,X3,2021
1C4JJXP69M,273800768,JEEP,WRANGLER,2021
KNDCD3LD9J,326522969,KIA,NIRO,2018
1C4JJXR62P,228262198,JEEP,WRANGLER,2023
YV4BR0DK4M,152418122,VOLVO,XC60,2021
1FADP5EU3H,320931572,FORD,C-MAX,2017
1C4JJXP66M,187610307,JEEP,WRANGLER,2021
WAUTPBFF3H,299873640,AUDI,A3,2017
YV4BR00K3M,269955066,VOLVO,XC90,2021
JTDKAMFP1M,270168657,TOYOTA,PRIUS PRIME (PHEV),2021
JTDKARFP1H,259770899,TOYOTA,PRIUS PRIME (PHEV),2017
YV4BR0CK7M,256406706,VOLVO,XC90,2021
